model,accuracy,threshold,f1,precision,recall,ap,mcc
e5-onlinecontrastive,0.9057829759584145,0.3843783140182495,0.910091743119266,0.8910179640718563,0.93,0.9699125370355143,0.8091632802765538
gte-contrastive,0.9070825211176088,0.510219931602478,0.909993792675357,0.903822441430333,0.91625,0.9725559868817515,0.8112455360215981
gte-csmnrl,0.8323586744639376,0.4422970414161682,0.8383900928792568,0.8306748466257668,0.84625,0.9134898839096602,0.6601479463803498
gte-mnrl,0.8401559454191033,0.4460364580154419,0.8410852713178295,0.8703208556149733,0.81375,0.9197980567988915,0.6822215692378822
e5-contrastive,0.9044834307992202,0.48987752199172974,0.9093152375077113,0.8976857490864799,0.92125,0.9692260675184535,0.8087615891942957
stella-contrastive,0.9330734243014944,0.34742769598960876,0.9359054138145613,0.9318463444857497,0.94,0.9822665783710581,0.8659237675173909
e5-csmnrl,0.816114359974009,0.41284647583961487,0.8181818181818183,0.826530612244898,0.81,0.8972805855325195,0.625586700465415
e5-mnrl,0.834307992202729,0.40573903918266296,0.8411214953271029,0.8385093167701864,0.84375,0.9125452331870758,0.6680230703522821
gte-onlinecontrastive,0.9070825211176088,0.5108281970024109,0.91055900621118,0.9049382716049382,0.91625,0.9725527928080149,0.812543199411353
stella-csmnrl,0.8810916179337231,0.533484935760498,0.8817065287653523,0.9129852744310576,0.8525,0.9498057678764905,0.7642692894971591
stella-mnrl,0.8453541260558805,0.47217851877212524,0.8527227722772277,0.8443627450980392,0.86125,0.923684340163697,0.6901155833938416
stella-onlinecontrastive,0.9324236517218973,0.3119436502456665,0.9356435643564356,0.9264705882352942,0.945,0.9827292222066268,0.8647106555419807
